animalID	year	yday	molt
44168	2016	126	0
44168	2016	129	0
44168	2016	130	0
44168	2016	137	0
44168	2016	139	5
44168	2016	146	15
44168	2016	171	100
44244	2016	110	5
44244	2016	126	0
44244	2016	129	10
44244	2016	130	0
44244	2016	149	100
44244	2016	150	100
44271	2016	96	0
44271	2016	97	0
44271	2016	98	10
44271	2016	104	3
44271	2016	117	10
44271	2016	118	25
44271	2016	136	100
44271	2016	139	100
44271	2016	146	100
44327	2016	131	0
44327	2016	137	2
44327	2016	141	20
44327	2016	153	100
44327	2016	156	100
44327	2016	164	100
44339	2016	96	0
44339	2016	106	0
44339	2016	106	0
44339	2016	110	5
44339	2016	111	0
44339	2016	145	100
44344	2016	126	5
44344	2016	128	0
44344	2016	129	0
44344	2016	133	0
44344	2016	138	2
44344	2016	150	98
44344	2016	162	100
44344	2016	162	100
44344	2016	169	100
44377	2016	110	5
44377	2016	111	0
44377	2016	122	20
44377	2016	125	40
44377	2016	126	75
44377	2016	126	60
44377	2016	146	100
44548	2016	134	100
44548	2016	146	0
44548	2016	146	2
44548	2016	146	0
44548	2016	157	20
44620	2016	84	0
44620	2016	85	0
44620	2016	104	3
44620	2016	117	100
44620	2016	118	100
44620	2016	122	100
44620	2016	141	100
44648	2016	95	0
44648	2016	103	0
44648	2016	106	0
44648	2016	107	0
44648	2016	111	100
44648	2016	114	5
44648	2016	125	90
45083	2016	117	40
45083	2016	122	15
45083	2016	126	0
45083	2016	130	15
45083	2016	134	60
45083	2016	161	100
45108	2016	117	10
45108	2016	118	10
45108	2016	125	2
45108	2016	143	100
45108	2016	143	100
45108	2016	153	100
45277	2016	110	15
45277	2016	138	70
45277	2016	144	15
45277	2016	147	0
45277	2016	150	40
45277	2016	164	100
45280	2016	148	2
45280	2016	149	0
45280	2016	158	5
45280	2016	164	20
45280	2016	167	50
45280	2016	177	100
45455	2017	109	0
45455	2017	114	0
45455	2017	130	40
45455	2017	131	20
45455	2017	135	100
45455	2017	139	100
45455	2017	150	100
45500	2016	118	5
45500	2016	125	10
45500	2016	132	20
45500	2016	134	10
45500	2016	145	100
45500	2016	149	100
45529	2016	111	10
45529	2016	117	20
45529	2016	126	15
45529	2016	128	70
45529	2016	130	40
45529	2016	131	40
45529	2016	132	30
45529	2016	139	100
45529	2016	149	100
45529	2016	150	100
45529	2017	103	0
45529	2017	103	0
45529	2017	105	0
45529	2017	105	0
45529	2017	106	0
45529	2017	110	10
45529	2017	112	0
45529	2017	118	95
45529	2017	119	100
45529	2017	131	100
45529	2017	132	0
45529	2017	132	100
45529	2017	139	100
45529	2017	140	100
45535	2016	126	5
45535	2016	127	5
45535	2016	130	0
45535	2016	134	0
45535	2016	140	40
45535	2016	150	70
45535	2016	156	100
45535	2017	116	0
45535	2017	117	0
45535	2017	135	40
45535	2017	140	95
45535	2017	143	100
45535	2017	146	100
45535	2017	148	100
45535	2017	152	100
45535	2017	153	100
45535	2017	154	100
45535	2017	156	100
45674	2016	103	20
45674	2016	104	2
45674	2016	111	5
45674	2016	116	10
45674	2016	118	20
45674	2016	121	15
45674	2016	136	100
45674	2016	138	100
45674	2016	148	100
45693	2017	111	0
45693	2017	139	80
45693	2017	141	100
45693	2017	142	100
45693	2017	142	100
45693	2017	144	100
45704	2016	95	0
45704	2016	96	40
45704	2016	101	5
45704	2016	106	60
45704	2016	111	20
45704	2016	117	100
45704	2016	125	100
45704	2016	127	100
45714	2017	129	0
45714	2017	131	0
45714	2017	139	20
45714	2017	140	10
45714	2017	141	15
45714	2017	147	70
45714	2017	148	100
45755	2017	109	0
45755	2017	110	0
45755	2017	117	0
45755	2017	128	5
45755	2017	131	0
45755	2017	132	60
45755	2017	152	100
45755	2017	153	100
46541	2017	117	5
46541	2017	118	5
46541	2017	131	5
46541	2017	137	60
46541	2017	141	100
46541	2017	142	0
46552	2018	96	0
46552	2018	98	0
46552	2018	99	0
46552	2018	100	0
46552	2018	109	0
46552	2018	114	0
46552	2018	115	0
46552	2018	129	90
46552	2018	131	100
46552	2018	142	100
46552	2018	143	100
46558	2018	97	0
46558	2018	100	0
46558	2018	111	2
46558	2018	113	5
46558	2018	142	100
46558	2018	143	100
46804	2018	102	0
46804	2018	120	5
46804	2018	129	80
46804	2018	130	95
46804	2018	133	100
46804	2018	133	100
46804	2018	142	100
46804	2018	143	100
46804	2018	146	100
46807	2018	118	5
46807	2018	120	2
46807	2018	122	2
46807	2018	123	2
46807	2018	123	0
46807	2018	143	100
46807	2018	147	100
46827	2017	141	10
46827	2017	142	0
46827	2017	146	0
46827	2017	146	15
46827	2017	148	10
46827	2017	151	20
46827	2017	152	30
46827	2017	156	80
46827	2017	160	100
46896	2017	103	5
46896	2017	103	0
46896	2017	128	75
46896	2017	129	40
46896	2017	131	80
46896	2017	132	100
46896	2018	97	0
46896	2018	115	0
46896	2018	116	5
46896	2018	129	98
46896	2018	133	100
46896	2018	140	100
46896	2018	142	100
46924	2017	128	5
46924	2017	129	15
46924	2017	131	2
46924	2017	144	40
46924	2017	146	60
46924	2017	148	90
46924	2017	150	100
46924	2017	152	100
46954	2017	112	2
46954	2017	114	0
46954	2017	118	0
46954	2017	129	5
46954	2017	131	5
46954	2017	134	10
46954	2017	137	15
46954	2017	137	10
46954	2017	145	100
46964	2017	116	0
46964	2017	117	0
46964	2017	118	0
46964	2017	119	0
46964	2017	128	5
46964	2017	132	10
46964	2017	147	100
46964	2017	151	100
46964	2017	154	100
46976	2017	109	0
46976	2017	117	5
46976	2017	118	5
46976	2017	146	95
46976	2017	148	100
46976	2017	151	100
46976	2018	112	5
46976	2018	120	80
46976	2018	121	5
46976	2018	122	30
46976	2018	140	100
46976	2018	144	100
46976	2018	148	100
46981	2017	103	5
46981	2017	103	0
46981	2017	128	100
46981	2017	128	100
46981	2017	131	100
46981	2017	135	100
46981	2017	139	100
46981	2018	98	0
46981	2018	104	0
46981	2018	116	2
46981	2018	122	20
46981	2018	142	100
46981	2018	144	100
46981	2018	148	100
46995	2018	95	2
46995	2018	97	0
46995	2018	103	0
46995	2018	109	2
46995	2018	109	5
46995	2018	111	10
46995	2018	115	50
46995	2018	115	60
46995	2018	116	80
46995	2018	118	100
46995	2018	118	95
46995	2018	129	100
46995	2018	133	100
46995	2018	133	100
47029	2017	129	15
47029	2017	131	10
47029	2017	131	0
47029	2017	132	5
47029	2017	146	5
47029	2017	153	95
47038	2017	103	12
47038	2017	109	0
47038	2017	111	15
47038	2017	118	80
47038	2017	128	100
47038	2017	129	100
47038	2017	131	100
47106	2017	118	0
47106	2017	119	0
47106	2017	137	100
47106	2017	137	100
47106	2017	139	100
47106	2017	151	100
47106	2017	152	100
47119	2018	103	0
47119	2018	107	0
47119	2018	111	0
47119	2018	111	0
47119	2018	115	0
47119	2018	118	2
47119	2018	122	2
47119	2018	138	100
47119	2018	143	100
47142	2018	118	0
47142	2018	129	0
47142	2018	129	0
47142	2018	130	10
47142	2018	131	2
47142	2018	133	2
47142	2018	135	0
47142	2018	140	25
47142	2018	155	100
47142	2018	161	100
47781	2018	120	0
47781	2018	122	0
47781	2018	132	10
47781	2018	142	100
47781	2018	153	100
47781	2018	154	100
47781	2018	154	100
47781	2018	156	100
47840	2018	98	0
47840	2018	99	2
47840	2018	100	5
47840	2018	103	0
47840	2018	111	5
47840	2018	111	10
47840	2018	113	5
47840	2018	114	0
47840	2018	118	10
47840	2018	118	0
47840	2018	118	20
47840	2018	120	5
47840	2018	140	99
48030	2018	98	50
48030	2018	103	10
48030	2018	111	10
48030	2018	118	75
48030	2018	122	100
48040	2018	111	25
48040	2018	114	0
48040	2018	120	0
48040	2018	123	5
48040	2018	141	95
48040	2018	144	100
48040	2018	147	100
48040	2018	151	100
48040	2018	153	100
48040	2018	154	100
48040	2018	154	100
48040	2018	155	100
48040	2018	155	100
48054	2018	101	0
48054	2018	106	0
48054	2018	109	5
48054	2018	120	35
48054	2018	122	30
48054	2018	139	100
48054	2018	141	0
48142	2018	116	0
48142	2018	118	100
48142	2018	119	0
48142	2018	128	5
48142	2018	132	5
48142	2018	144	100
48142	2018	146	100
48142	2018	151	100
48187	2018	126	50
48187	2018	129	10
48187	2018	130	30
48187	2018	131	40
48187	2018	141	5
48187	2018	144	10
48187	2018	160	100
48211	2018	105	0
48211	2018	110	0
48211	2018	111	0
48211	2018	111	0
48211	2018	113	0
48211	2018	114	0
48211	2018	115	0
48211	2018	115	0
48211	2018	118	0
48211	2018	120	5
48211	2018	125	0
48211	2018	125	5
48211	2018	128	20
48211	2018	129	10
48211	2018	131	20
48211	2018	132	30
48211	2018	133	80
48211	2018	144	100
48295	2018	137	2
48295	2018	141	5
48295	2018	150	5
48295	2018	151	5
48295	2018	158	80
48295	2018	159	100
48295	2018	162	100
48295	2018	172	100
48314	2018	137	10
48314	2018	140	40
48314	2018	144	20
48314	2018	145	5
48314	2018	146	20
48314	2018	150	70
48314	2018	152	90
48314	2018	160	100
48404	2018	115	0
48404	2018	118	5
48404	2018	121	5
48404	2018	122	0
48404	2018	128	0
48404	2018	130	10
48404	2018	132	15
48404	2018	132	20
48404	2018	133	20
48404	2018	133	15
48404	2018	136	70
48404	2018	140	100
48404	2018	141	95
48404	2018	142	100
48404	2018	144	100
48404	2018	146	100
48550	2018	96	2
48550	2018	100	0
48550	2018	103	2
48550	2018	115	60
48550	2018	122	100
48550	2018	129	100
48550	2018	141	100
48550	2018	142	100
48550	2018	144	100
48919	2020	98	0
48919	2020	100	0
48919	2020	110	5
48919	2020	112	0
48919	2020	124	100
48919	2020	128	100
48919	2020	128	0
49022	2020	102	0
49022	2020	105	0
49022	2020	110	0
49022	2020	116	0
49022	2020	119	0
49022	2020	128	100
49022	2020	139	100
49022	2020	147	100
49022	2020	150	100
49022	2020	154	100
49102	2020	91	0
49102	2020	100	0
49102	2020	102	1
49102	2020	104	0
49102	2020	105	5
49102	2020	107	5
49102	2020	110	25
49102	2020	124	100
49102	2020	126	100
49102	2020	128	100
49102	2020	133	100
49102	2020	133	100
49102	2020	135	100
49102	2020	137	100
49102	2020	139	100
49103	2020	76	0
49103	2020	82	0
49103	2020	83	0
49103	2020	88	0
49103	2020	91	0
49103	2020	122	100
49103	2020	124	100
49103	2020	124	100
49103	2020	128	100
49276	2020	128	0
49276	2020	141	2
49276	2020	150	98
49276	2020	152	100
49276	2020	154	100
49276	2020	159	100
49276	2020	161	100
49276	2020	163	100
49276	2020	168	100
49276	2020	169	100
49374	2020	100	0
49374	2020	102	0
49374	2020	105	0
49374	2020	110	0
49374	2020	112	5
49374	2020	124	95
49374	2020	128	100
49376	2020	95	0
49376	2020	100	0
49376	2020	104	0
49376	2020	112	5
49376	2020	116	5
49376	2020	128	95
49376	2020	137	100
49376	2020	139	100
49381	2020	108	0
49381	2020	112	0
49381	2020	116	0
49381	2020	119	0
49381	2020	122	0
49381	2020	122	1
49381	2020	128	1
49381	2020	131	15
49381	2020	137	100
49381	2020	137	100
49381	2020	139	100
49381	2020	141	100
49381	2020	150	100
49381	2020	154	100
49381	2020	154	100
49381	2020	159	100
49386	2020	93	0
49386	2020	108	2
49386	2020	119	45
49386	2020	124	100
49386	2020	137	100
49386	2020	143	100
49510	2020	100	0
49510	2020	102	2
49510	2020	105	0
49510	2020	107	0
49510	2020	108	0
49510	2020	110	0
49510	2020	119	20
49510	2020	124	50
49510	2020	124	18
49510	2020	128	80
49510	2020	131	90
